Player_id,Team_name,Player_name,Player_enlish_name,Squad_num,Position,National,Height,Weight,Birthday
19970001,전남,김병지,KIM Byungji,1,GK,한국,184,78,1970/04/08
19970002,울산,김상훈,"Kim, Sang Hoon",-,-,한국,-,-,1973/06/08
19970003,울산,손대원,"Son, Dae Won",27,DF,한국,185,67,1975/02/10
19970004,울산,박종욱,"Park, Jong Wook",29,DF,한국,185,74,1975/01/11
19970005,부산,박정배,"Park, Juung Bae",2,DF,한국,183,80,1967/02/19
19970006,인천,유상철,YOO SANG CHUL,-,-,한국,-,-,1971/10/18
19970007,연맹,신홍기,SHIN HONG GI,15,DF,한국,173,73,1968/05/04
19970008,울산,정정수,"Jung, Jeong Soo",8,MF,한국,170,61,1969/11/20
19970009,울산,김기남,"Kim, Ki Nam",9,MF,한국,179,78,1973/07/20
19970010,울산,김현석,"Kim, Hyun Seok",8,MF,한국,178,70,1967/05/05
19970011,연맹,서동원,"Seo, Dong Won",22,FW,한국,180,75,1973/12/12
19970012,울산,천정희,"Chun, Jung Hee",19,DF,한국,175,70,1974/06/23
19970013,전북,안홍민,"An, Hong Min",26,MF,한국,177,69,1971/09/06
19970014,울산,송주석,"Song, Ju Seog",18,FW,한국,183,75,1967/02/26
19970015,울산,최동호,"Choi, Dong Ho",48,DF,한국,185,79,1968/08/12
19970016,울산,김종건,"Kim, Jong Kun",16,FW,한국,183,73,1969/05/10
19970017,울산,이현석,"Lee, Hyun Seok",19,FW,한국,175,70,1968/05/17
19970018,전남,김경렬,"Kim, Kyung Ryul",19,FW,한국,,,1974/05/15
19970019,울산,김종식,"Kim, Jong Sik",27,MF,한국,171,68,1967/03/18
19970020,포항,서동명,SEO DONG MYUNG,-,-,한국,-,-,1974/05/04
19970021,울산,이정문,"Lee, Chung Moon",22,GK,한국,185,75,1971/03/05
19970022,제주,장형석,"Jang, Hyung Seok",36,DF,한국,181,72,1972/07/07
19970023,울산,장철민,"Jang, Chul Min",24,MF,한국,179,76,1972/05/19
19970024,부산,이문석,"Lee, Moon Seok",49,DF,한국,175,68,1970/03/06
19970025,울산,마니,Jeannot Giovanny,26,FW,모리셔스,174,,1975/09/25
19970026,울산,허남철,"Hur, Nam Cheul",99,벤치,한국,,,
19970027,부산,윤대성,"Yun, Dae Sung",-,-,한국,-,-,
19970028,울산,김영수,"Kim, Young Soo",99,벤치,한국,,,
19970029,울산,한연철,,30,FW,한국,177,72,1972/03/30
19970030,울산,정성혁,,99,DF,한국,183,,1977/03/03
19970031,전북,황승주,"Hwang, Seung Joo",2,DF,한국,176,68,1972/05/09
19970032,전북,윤재훈,"Yun, Jae Hoon",13,DF,한국,180,76,1973/12/25
19970033,연맹,최영준,CHOI YOUNGJUN,5,DF,한국,181,73,1965/08/16
19970034,울산,임종헌,"LIM, Jong Heon",-,-,한국,-,-,1966/03/08
19970035,전북,이운재,WOONJAE LEE,-,-,한국,-,-,1973/04/26
19970036,대구,이병근,Byunggeun LEE,-,-,한국,-,-,1973/04/28
19970037,광주,정성훈,SUNG HOON JUNG,-,-,한국,-,-,1968/09/14
19970038,수원,신성환,,39,DF,한국,182,78,1968/10/10
19970039,부산,이기형,LEE Kihyung,-,-,한국,-,-,1974/09/28
19970040,대전,김진우,KIM JINWOO,-,-,한국,-,-,1975/10/09
19970041,수원,바데아,Pavel Badea,8,MF,루마니아,172,68,1967/06/10
19970042,부산,이진행,,-,-,한국,-,-,1971/07/10
19970043,수원,조현두,"CHO, HYUN DOO",-,-,한국,-,-,1973/11/23
19970044,울산,조대현,"Cho, Daehyun",18,MF,한국,177,67,1974/02/24
19970045,수원,전재복,,35,DF,한국,175,66,1972/11/05
19970046,수원,이광종,,19,MF,한국,175,68,1964/04/01
19970047,수원,이기근,LEE Kikeun,10,FW,한국,170,69,1965/08/13
19970048,수원,박건하,PARK Kunha,-,-,한국,-,-,1971/07/25
19970049,수원,올리,Aurelian Cosmi Olaroiu,19,DF,루마니아,187,83,1969/06/10
19970050,수원,유리,Yuri Matveev,21,FW,러시아,185,,1967/06/08
19970051,대전,고종수,KO Jongsu,-,-,한국,-,-,1978/10/30
19970052,수원,한상열,"Han, Sang Yeol",25,MF,한국,175,66,1972/09/24
19970053,부산,윤성효,YOON Sunghyo,-,-,한국,-,-,1962/05/18
19970054,광주,박철우,PARK CHULWOO,-,-,한국,-,-,1965/09/29
19970055,전북,박충균,PARK Choongkyun,-,-,한국,-,-,1973/06/20
19970056,수원,김이주,,16,FW,한국,175,70,1966/03/01
19970057,수원,정윤채,,99,벤치,한국,,,
19970058,수원,이경수,LEE Kyungsoo,-,-,한국,-,-,1973/10/28
19970059,포항,이상욱,LEE SANG  EUK,-,-,한국,-,-,1973/05/27
19970059,포항,이상욱,LEE SANG  EUK,-,-,한국,-,-,1973/05/27
19970061,수원,김재신,"Kim, Jae shin",2,DF,한국,180,75,1973/08/30
19970062,수원,김두함,,4,DF,한국,180,,1970/03/08
