Season,Team_name,Id,Squad_num,Player_name,Player_name_en,National
2021,인천,20020069,3,김광석,KWANG SUK KIM,한국
2020,포항,20020069,3,김광석,KWANG SUK KIM,한국
2019,포항,20020069,3,김광석,KWANG SUK KIM,한국
2018,포항,20020069,3,김광석,KWANG SUK KIM,한국
2017,포항,20020069,3,김광석,KWANG SUK KIM,한국
2016,포항,20020069,3,김광석,KWANG SUK KIM,한국
2015,포항,20020069,3,김광석,KWANG SUK KIM,한국
2014,포항,20020069,3,김광석,KWANG SUK KIM,한국
2013,포항,20020069,3,김광석,KWANG SUK KIM,한국
2012,포항,20020069,3,김광석,KWANG SUK KIM,한국
2011,포항,20020069,3,김광석,KWANG SUK KIM,한국
2010,포항,20020069,3,김광석,KWANG SUK KIM,한국
2009,포항,20020069,3,김광석,KWANG SUK KIM,한국
2008,포항,20020069,3,김광석,KWANG SUK KIM,한국
2007,포항,20020069,3,김광석,KWANG SUK KIM,한국
2006,광주상무,20020069,3,김광석,KWANG SUK KIM,한국
2005,광주상무,20020069,3,김광석,KWANG SUK KIM,한국
2004,포항,20020069,3,김광석,KWANG SUK KIM,한국
2003,포항,20020069,3,김광석,KWANG SUK KIM,한국
2021,성남,20020081,41,김영광,Youngkwang KIM,한국
2020,성남,20020081,41,김영광,Youngkwang KIM,한국
2019,서울E,20020081,41,김영광,Youngkwang KIM,한국
2018,서울E,20020081,41,김영광,Youngkwang KIM,한국
2017,서울E,20020081,41,김영광,Youngkwang KIM,한국
2016,서울E,20020081,41,김영광,Youngkwang KIM,한국
2015,서울E,20020081,41,김영광,Youngkwang KIM,한국
2014,경남,20020081,41,김영광,Youngkwang KIM,한국
2013,울산,20020081,41,김영광,Youngkwang KIM,한국
2012,울산,20020081,41,김영광,Youngkwang KIM,한국
2011,울산,20020081,41,김영광,Youngkwang KIM,한국
2010,울산,20020081,41,김영광,Youngkwang KIM,한국
2009,울산,20020081,41,김영광,Youngkwang KIM,한국
2008,울산,20020081,41,김영광,Youngkwang KIM,한국
2007,울산,20020081,41,김영광,Youngkwang KIM,한국
2006,전남,20020081,41,김영광,Youngkwang KIM,한국
2005,전남,20020081,41,김영광,Youngkwang KIM,한국
2004,전남,20020081,41,김영광,Youngkwang KIM,한국
2003,전남,20020081,41,김영광,Youngkwang KIM,한국
2002,전남,20020081,41,김영광,Youngkwang KIM,한국
2021,울산,20030037,22,고명진,Myongjin KOH,한국
2020,울산,20030037,22,고명진,Myongjin KOH,한국
2015,서울,20030037,22,고명진,Myongjin KOH,한국
2014,서울,20030037,22,고명진,Myongjin KOH,한국
2013,서울,20030037,22,고명진,Myongjin KOH,한국
2012,서울,20030037,22,고명진,Myongjin KOH,한국
2011,서울,20030037,22,고명진,Myongjin KOH,한국
2010,서울,20030037,22,고명진,Myongjin KOH,한국
2009,서울,20030037,22,고명진,Myongjin KOH,한국
2008,서울,20030037,22,고명진,Myongjin KOH,한국
2007,서울,20030037,22,고명진,Myongjin KOH,한국
2006,서울,20030037,22,고명진,Myongjin KOH,한국
2005,서울,20030037,22,고명진,Myongjin KOH,한국
2004,서울,20030037,22,고명진,Myongjin KOH,한국
2016,전북,20030075,35,이호,LEE Ho,한국
2015,전북,20030075,35,이호,LEE Ho,한국
2014,울산,20030075,35,이호,LEE Ho,한국
2013,상주,20030075,35,이호,LEE Ho,한국
2012,울산,20030075,35,이호,LEE Ho,한국
2011,울산,20030075,35,이호,LEE Ho,한국
2009,성남,20030075,35,이호,LEE Ho,한국
2006,울산,20030075,35,이호,LEE Ho,한국
2005,울산,20030075,35,이호,LEE Ho,한국
2004,울산,20030075,35,이호,LEE Ho,한국
2003,울산,20030075,35,이호,LEE Ho,한국
2021,포항,20030104,14,오범석,Beomseok OH,한국
2020,포항,20030104,14,오범석,Beomseok OH,한국
2019,강원,20030104,14,오범석,Beomseok OH,한국
2018,강원,20030104,14,오범석,Beomseok OH,한국
2017,강원,20030104,14,오범석,Beomseok OH,한국
2015,수원,20030104,14,오범석,Beomseok OH,한국
2014,수원,20030104,14,오범석,Beomseok OH,한국
2013,경찰,20030104,14,오범석,Beomseok OH,한국
2012,수원,20030104,14,오범석,Beomseok OH,한국
2011,수원,20030104,14,오범석,Beomseok OH,한국
2010,울산,20030104,14,오범석,Beomseok OH,한국
2009,울산,20030104,14,오범석,Beomseok OH,한국
2007,포항,20030104,14,오범석,Beomseok OH,한국
2006,포항,20030104,14,오범석,Beomseok OH,한국
2005,포항,20030104,14,오범석,Beomseok OH,한국
2004,포항,20030104,14,오범석,Beomseok OH,한국
2003,포항,20030104,14,오범석,Beomseok OH,한국
2021,대구,20040044,22,이근호,LEE Keunho,한국
2020,울산,20040044,22,이근호,LEE Keunho,한국
2019,울산,20040044,22,이근호,LEE Keunho,한국
2018,울산,20040044,22,이근호,LEE Keunho,한국
2017,강원,20040044,22,이근호,LEE Keunho,한국
2016,제주,20040044,22,이근호,LEE Keunho,한국
2015,전북,20040044,22,이근호,LEE Keunho,한국
2014,상주,20040044,22,이근호,LEE Keunho,한국
2013,상주,20040044,22,이근호,LEE Keunho,한국
2012,울산,20040044,22,이근호,LEE Keunho,한국
2008,대구,20040044,22,이근호,LEE Keunho,한국
2007,대구,20040044,22,이근호,LEE Keunho,한국
2006,인천,20040044,22,이근호,LEE Keunho,한국
2005,인천,20040044,22,이근호,LEE Keunho,한국
2021,인천,20040066,2,김창수,CHANG SOO KIM,한국
2020,광주,20040066,2,김창수,CHANG SOO KIM,한국
2019,울산,20040066,2,김창수,CHANG SOO KIM,한국
2018,울산,20040066,2,김창수,CHANG SOO KIM,한국
2017,울산,20040066,2,김창수,CHANG SOO KIM,한국
2016,전북,20040066,2,김창수,CHANG SOO KIM,한국
2012,부산,20040066,2,김창수,CHANG SOO KIM,한국
2011,부산,20040066,2,김창수,CHANG SOO KIM,한국
2010,부산,20040066,2,김창수,CHANG SOO KIM,한국
2009,부산,20040066,2,김창수,CHANG SOO KIM,한국
2008,부산,20040066,2,김창수,CHANG SOO KIM,한국
2007,대전,20040066,2,김창수,CHANG SOO KIM,한국
2006,대전,20040066,2,김창수,CHANG SOO KIM,한국
2004,울산,20040066,2,김창수,CHANG SOO KIM,한국
2021,울산,20040081,72,이청용,Chungyong LEE,한국
2020,울산,20040081,72,이청용,Chungyong LEE,한국
2009,서울,20040081,72,이청용,Chungyong LEE,한국
2008,서울,20040081,72,이청용,Chungyong LEE,한국
2007,서울,20040081,72,이청용,Chungyong LEE,한국
2006,서울,20040081,72,이청용,Chungyong LEE,한국
2004,서울,20040081,72,이청용,Chungyong LEE,한국
